Epoch,Loss,Accuracy
1,2.968783140182495,0.1484375
2,2.044076919555664,0.4140625
3,1.513892650604248,0.5244140625
4,1.3111388683319092,0.5595703125
5,1.1937416791915894,0.6171875
6,1.1266233921051025,0.6474609375
7,1.0655449628829956,0.6630859375
8,1.0243377685546875,0.666015625
9,0.9738977551460266,0.689453125
10,0.9598859548568726,0.701171875
11,0.9424270391464233,0.7041015625
12,0.8753038644790649,0.716796875
13,0.8753842115402222,0.716796875
14,0.8723962903022766,0.7158203125
15,0.8276323080062866,0.7333984375
16,0.7898354530334473,0.740234375
17,0.7661464214324951,0.7529296875
18,0.7593488693237305,0.734375
19,0.7327945828437805,0.765625
20,0.7228570580482483,0.759765625
21,0.6881414651870728,0.7744140625
22,0.7067403197288513,0.76953125
23,0.6793789863586426,0.7841796875
24,0.6569163799285889,0.7802734375
25,0.6299917697906494,0.7900390625
26,0.6140109300613403,0.7998046875
27,0.6028307676315308,0.7978515625
28,0.581538200378418,0.8046875
29,0.5692523717880249,0.8193359375
30,0.5707749128341675,0.80859375
31,0.5213102698326111,0.8369140625
32,0.507210910320282,0.8291015625
33,0.5187852382659912,0.82421875
34,0.5230376124382019,0.81640625
35,0.4795536994934082,0.8359375
36,0.47799381613731384,0.830078125
37,0.481078565120697,0.8359375
38,0.48501163721084595,0.8349609375
39,0.46208280324935913,0.8525390625
40,0.43612176179885864,0.8505859375
41,0.4372304081916809,0.853515625
42,0.42247816920280457,0.869140625
43,0.4169807732105255,0.8564453125
44,0.40264979004859924,0.861328125
45,0.39568886160850525,0.876953125
46,0.41457733511924744,0.8525390625
47,0.3679593503475189,0.87890625
48,0.3721691370010376,0.87109375
49,0.3554638922214508,0.8662109375
50,0.35440653562545776,0.875
51,0.36302733421325684,0.8740234375
52,0.35579362511634827,0.880859375
53,0.3243982195854187,0.8857421875
54,0.2991176247596741,0.904296875
55,0.31860288977622986,0.8955078125
56,0.32168784737586975,0.88671875
57,0.32931065559387207,0.900390625
58,0.30581164360046387,0.896484375
59,0.316673219203949,0.884765625
60,0.3286362886428833,0.8828125
61,0.2885879874229431,0.904296875
62,0.28182750940322876,0.8984375
63,0.31227222084999084,0.8896484375
64,0.2856644093990326,0.9072265625
65,0.27480947971343994,0.90234375
66,0.27506905794143677,0.90625
67,0.27490872144699097,0.9091796875
68,0.2767811715602875,0.8994140625
69,0.27842748165130615,0.8984375
70,0.26532459259033203,0.91796875
71,0.2583678960800171,0.916015625
72,0.2680332064628601,0.9140625
73,0.24713507294654846,0.9130859375
74,0.24017596244812012,0.9189453125
75,0.2543513774871826,0.916015625
76,0.23838995397090912,0.9140625
77,0.236129492521286,0.9169921875
78,0.23518487811088562,0.919921875
79,0.24605880677700043,0.9267578125
80,0.20662644505500793,0.919921875
81,0.2622830271720886,0.916015625
82,0.24303525686264038,0.927734375
83,0.26592519879341125,0.908203125
84,0.24847190082073212,0.9208984375
85,0.2100122570991516,0.9296875
86,0.22268477082252502,0.9150390625
87,0.21927519142627716,0.9248046875
88,0.2282562106847763,0.921875
89,0.22401130199432373,0.9189453125
90,0.20647786557674408,0.93359375
